"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -5.77181704069E+001, +0.00000000000E+000
+2.50625000000E+008, -5.64226768481E+001, +0.00000000000E+000
+2.51250000000E+008, -5.88848923120E+001, +0.00000000000E+000
+2.51875000000E+008, -5.53876704930E+001, +0.00000000000E+000
+2.52500000000E+008, -5.93591902643E+001, +0.00000000000E+000
+2.53125000000E+008, -6.16979597195E+001, +0.00000000000E+000
+2.53750000000E+008, -6.15651369350E+001, +0.00000000000E+000
+2.54375000000E+008, -6.01167200474E+001, +0.00000000000E+000
+2.55000000000E+008, -6.24341951015E+001, +0.00000000000E+000
+2.55625000000E+008, -6.03509442634E+001, +0.00000000000E+000
+2.56250000000E+008, -6.27238765411E+001, +0.00000000000E+000
+2.56875000000E+008, -5.68288433841E+001, +0.00000000000E+000
+2.57500000000E+008, -6.48636961226E+001, +0.00000000000E+000
+2.58125000000E+008, -6.06778373581E+001, +0.00000000000E+000
+2.58750000000E+008, -6.46970106941E+001, +0.00000000000E+000
+2.59375000000E+008, -6.70308308066E+001, +0.00000000000E+000
+2.60000000000E+008, -6.18502935529E+001, +0.00000000000E+000
+2.60625000000E+008, -6.75959127847E+001, +0.00000000000E+000
+2.61250000000E+008, -6.34691022241E+001, +0.00000000000E+000
+2.61875000000E+008, -6.35191387322E+001, +0.00000000000E+000
+2.62500000000E+008, -8.20461487332E+001, +0.00000000000E+000
+2.63125000000E+008, -6.94214489175E+001, +0.00000000000E+000
+2.63750000000E+008, -7.10575989571E+001, +0.00000000000E+000
+2.64375000000E+008, -6.55946523859E+001, +0.00000000000E+000
+2.65000000000E+008, -6.71115077575E+001, +0.00000000000E+000
+2.65625000000E+008, -7.16760973228E+001, +0.00000000000E+000
+2.66250000000E+008, -7.26635546823E+001, +0.00000000000E+000
+2.66875000000E+008, -7.34666929577E+001, +0.00000000000E+000
+2.67500000000E+008, -6.65651663615E+001, +0.00000000000E+000
+2.68125000000E+008, -6.67443261821E+001, +0.00000000000E+000
+2.68750000000E+008, -6.27386295504E+001, +0.00000000000E+000
+2.69375000000E+008, -6.74320708989E+001, +0.00000000000E+000
+2.70000000000E+008, -6.55024841089E+001, +0.00000000000E+000
+2.70625000000E+008, -6.57449245156E+001, +0.00000000000E+000
+2.71250000000E+008, -6.19373004161E+001, +0.00000000000E+000
+2.71875000000E+008, -6.16537079342E+001, +0.00000000000E+000
+2.72500000000E+008, -6.46111581276E+001, +0.00000000000E+000
+2.73125000000E+008, -6.21672834424E+001, +0.00000000000E+000
+2.73750000000E+008, -5.94369260220E+001, +0.00000000000E+000
+2.74375000000E+008, -5.82947441908E+001, +0.00000000000E+000
+2.75000000000E+008, -5.97600448479E+001, +0.00000000000E+000
+2.75625000000E+008, -5.88451307271E+001, +0.00000000000E+000
+2.76250000000E+008, -5.48722844369E+001, +0.00000000000E+000
+2.76875000000E+008, -5.83946544224E+001, +0.00000000000E+000
+2.77500000000E+008, -5.96069130318E+001, +0.00000000000E+000
+2.78125000000E+008, -5.95763854988E+001, +0.00000000000E+000
+2.78750000000E+008, -5.92865329340E+001, +0.00000000000E+000
+2.79375000000E+008, -5.67544192035E+001, +0.00000000000E+000
+2.80000000000E+008, -5.72345084394E+001, +0.00000000000E+000
+2.80625000000E+008, -5.61844861736E+001, +0.00000000000E+000
+2.81250000000E+008, -5.56548535432E+001, +0.00000000000E+000
+2.81875000000E+008, -5.58706753970E+001, +0.00000000000E+000
+2.82500000000E+008, -5.44720359445E+001, +0.00000000000E+000
+2.83125000000E+008, -5.62183054752E+001, +0.00000000000E+000
+2.83750000000E+008, -5.45889783123E+001, +0.00000000000E+000
+2.84375000000E+008, -5.74706994333E+001, +0.00000000000E+000
+2.85000000000E+008, -5.47288247987E+001, +0.00000000000E+000
+2.85625000000E+008, -5.35934230136E+001, +0.00000000000E+000
+2.86250000000E+008, -5.53196507284E+001, +0.00000000000E+000
+2.86875000000E+008, -5.45902180161E+001, +0.00000000000E+000
+2.87500000000E+008, -5.33784180121E+001, +0.00000000000E+000
+2.88125000000E+008, -5.37542600168E+001, +0.00000000000E+000
+2.88750000000E+008, -5.28588207648E+001, +0.00000000000E+000
+2.89375000000E+008, -5.31571559698E+001, +0.00000000000E+000
+2.90000000000E+008, -5.34306926803E+001, +0.00000000000E+000
+2.90625000000E+008, -5.16918228376E+001, +0.00000000000E+000
