"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +1.24112041232E-001, +0.00000000000E+000
+2.50625000000E+008, +1.24106667473E-001, +0.00000000000E+000
+2.51250000000E+008, +1.25303775341E-001, +0.00000000000E+000
+2.51875000000E+008, +1.24330749920E-001, +0.00000000000E+000
+2.52500000000E+008, +1.28833282337E-001, +0.00000000000E+000
+2.53125000000E+008, +1.26600231920E-001, +0.00000000000E+000
+2.53750000000E+008, +1.27042867765E-001, +0.00000000000E+000
+2.54375000000E+008, +1.26721929591E-001, +0.00000000000E+000
+2.55000000000E+008, +1.27723697116E-001, +0.00000000000E+000
+2.55625000000E+008, +1.28856285652E-001, +0.00000000000E+000
+2.56250000000E+008, +1.28966616927E-001, +0.00000000000E+000
+2.56875000000E+008, +1.33982020173E-001, +0.00000000000E+000
+2.57500000000E+008, +1.29779512248E-001, +0.00000000000E+000
+2.58125000000E+008, +1.29252958806E-001, +0.00000000000E+000
+2.58750000000E+008, +1.29361966231E-001, +0.00000000000E+000
+2.59375000000E+008, +1.30344843064E-001, +0.00000000000E+000
+2.60000000000E+008, +1.28943254208E-001, +0.00000000000E+000
+2.60625000000E+008, +1.31050199878E-001, +0.00000000000E+000
+2.61250000000E+008, +1.29975186435E-001, +0.00000000000E+000
+2.61875000000E+008, +1.34129390196E-001, +0.00000000000E+000
+2.62500000000E+008, +1.34178338228E-001, +0.00000000000E+000
+2.63125000000E+008, +1.35519953304E-001, +0.00000000000E+000
+2.63750000000E+008, +1.30595445116E-001, +0.00000000000E+000
+2.64375000000E+008, +1.33084514143E-001, +0.00000000000E+000
+2.65000000000E+008, +1.29793391413E-001, +0.00000000000E+000
+2.65625000000E+008, +1.33626128043E-001, +0.00000000000E+000
+2.66250000000E+008, +1.33517629304E-001, +0.00000000000E+000
+2.66875000000E+008, +1.33134754911E-001, +0.00000000000E+000
+2.67500000000E+008, +1.29985409305E-001, +0.00000000000E+000
+2.68125000000E+008, +1.32019756898E-001, +0.00000000000E+000
+2.68750000000E+008, +1.35255861854E-001, +0.00000000000E+000
+2.69375000000E+008, +1.33708480023E-001, +0.00000000000E+000
+2.70000000000E+008, +1.34539139119E-001, +0.00000000000E+000
+2.70625000000E+008, +1.33996830620E-001, +0.00000000000E+000
+2.71250000000E+008, +1.33579626688E-001, +0.00000000000E+000
+2.71875000000E+008, +1.37188336495E-001, +0.00000000000E+000
+2.72500000000E+008, +1.31555562150E-001, +0.00000000000E+000
+2.73125000000E+008, +1.36040282899E-001, +0.00000000000E+000
+2.73750000000E+008, +1.31133359135E-001, +0.00000000000E+000
+2.74375000000E+008, +1.35341033946E-001, +0.00000000000E+000
+2.75000000000E+008, +1.32719723972E-001, +0.00000000000E+000
+2.75625000000E+008, +1.35033803744E-001, +0.00000000000E+000
+2.76250000000E+008, +1.36234896611E-001, +0.00000000000E+000
+2.76875000000E+008, +1.34902111083E-001, +0.00000000000E+000
+2.77500000000E+008, +1.36694676187E-001, +0.00000000000E+000
+2.78125000000E+008, +1.32273817060E-001, +0.00000000000E+000
+2.78750000000E+008, +1.34927300677E-001, +0.00000000000E+000
+2.79375000000E+008, +1.33571387038E-001, +0.00000000000E+000
+2.80000000000E+008, +1.37801889113E-001, +0.00000000000E+000
+2.80625000000E+008, +1.31043214976E-001, +0.00000000000E+000
+2.81250000000E+008, +1.37613482068E-001, +0.00000000000E+000
+2.81875000000E+008, +1.31271938652E-001, +0.00000000000E+000
+2.82500000000E+008, +1.31448230085E-001, +0.00000000000E+000
+2.83125000000E+008, +1.39027239462E-001, +0.00000000000E+000
+2.83750000000E+008, +1.33428251918E-001, +0.00000000000E+000
+2.84375000000E+008, +1.36306090068E-001, +0.00000000000E+000
+2.85000000000E+008, +1.35116013559E-001, +0.00000000000E+000
+2.85625000000E+008, +1.31408128112E-001, +0.00000000000E+000
+2.86250000000E+008, +1.37106243945E-001, +0.00000000000E+000
+2.86875000000E+008, +1.35610272211E-001, +0.00000000000E+000
+2.87500000000E+008, +1.35153420709E-001, +0.00000000000E+000
+2.88125000000E+008, +1.35524656378E-001, +0.00000000000E+000
+2.88750000000E+008, +1.35794203523E-001, +0.00000000000E+000
