"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +1.52213554010E-002, +0.00000000000E+000
+2.50625000000E+008, +1.59540464693E-002, +0.00000000000E+000
+2.51250000000E+008, +1.58235527873E-002, +0.00000000000E+000
+2.51875000000E+008, +8.87276383245E-003, +0.00000000000E+000
+2.52500000000E+008, +1.59067539459E-002, +0.00000000000E+000
+2.53125000000E+008, +1.30349912375E-002, +0.00000000000E+000
+2.53750000000E+008, +1.50158149659E-002, +0.00000000000E+000
+2.54375000000E+008, +1.47034322911E-002, +0.00000000000E+000
+2.55000000000E+008, +1.45650154157E-002, +0.00000000000E+000
+2.55625000000E+008, +1.41212954933E-002, +0.00000000000E+000
+2.56250000000E+008, +1.00848515969E-002, +0.00000000000E+000
+2.56875000000E+008, +1.16554439470E-002, +0.00000000000E+000
+2.57500000000E+008, +1.05030049286E-002, +0.00000000000E+000
+2.58125000000E+008, +1.49381823002E-002, +0.00000000000E+000
+2.58750000000E+008, +1.46343013261E-002, +0.00000000000E+000
+2.59375000000E+008, +1.43716218301E-002, +0.00000000000E+000
+2.60000000000E+008, +1.38070573677E-002, +0.00000000000E+000
+2.60625000000E+008, +1.44048857034E-002, +0.00000000000E+000
+2.61250000000E+008, +1.50144176135E-002, +0.00000000000E+000
+2.61875000000E+008, +1.31860951502E-002, +0.00000000000E+000
+2.62500000000E+008, +1.54393595890E-002, +0.00000000000E+000
+2.63125000000E+008, +1.79626628199E-002, +0.00000000000E+000
+2.63750000000E+008, +1.51850539925E-002, +0.00000000000E+000
+2.64375000000E+008, +1.52486415308E-002, +0.00000000000E+000
+2.65000000000E+008, +1.84319756863E-002, +0.00000000000E+000
+2.65625000000E+008, +1.73206342374E-002, +0.00000000000E+000
+2.66250000000E+008, +1.63083323325E-002, +0.00000000000E+000
+2.66875000000E+008, +1.43474491579E-002, +0.00000000000E+000
+2.67500000000E+008, +1.74983298965E-002, +0.00000000000E+000
+2.68125000000E+008, +1.70859629587E-002, +0.00000000000E+000
+2.68750000000E+008, +1.63829031610E-002, +0.00000000000E+000
+2.69375000000E+008, +1.92235091676E-002, +0.00000000000E+000
+2.70000000000E+008, +1.85641424945E-002, +0.00000000000E+000
+2.70625000000E+008, +1.77952555494E-002, +0.00000000000E+000
+2.71250000000E+008, +1.94672452805E-002, +0.00000000000E+000
+2.71875000000E+008, +1.88769101307E-002, +0.00000000000E+000
+2.72500000000E+008, +1.64519097815E-002, +0.00000000000E+000
+2.73125000000E+008, +1.85191314064E-002, +0.00000000000E+000
+2.73750000000E+008, +1.78136468585E-002, +0.00000000000E+000
+2.74375000000E+008, +1.82492595747E-002, +0.00000000000E+000
+2.75000000000E+008, +1.79094207447E-002, +0.00000000000E+000
+2.75625000000E+008, +2.13234215895E-002, +0.00000000000E+000
+2.76250000000E+008, +1.87553091166E-002, +0.00000000000E+000
+2.76875000000E+008, +2.05528983977E-002, +0.00000000000E+000
+2.77500000000E+008, +1.90159168512E-002, +0.00000000000E+000
+2.78125000000E+008, +2.15595767074E-002, +0.00000000000E+000
+2.78750000000E+008, +1.67092067113E-002, +0.00000000000E+000
+2.79375000000E+008, +1.99280562456E-002, +0.00000000000E+000
+2.80000000000E+008, +2.11771497377E-002, +0.00000000000E+000
+2.80625000000E+008, +2.21213594492E-002, +0.00000000000E+000
+2.81250000000E+008, +2.39444804194E-002, +0.00000000000E+000
+2.81875000000E+008, +2.57007085111E-002, +0.00000000000E+000
+2.82500000000E+008, +2.21742378895E-002, +0.00000000000E+000
+2.83125000000E+008, +2.49588272578E-002, +0.00000000000E+000
+2.83750000000E+008, +2.35572552164E-002, +0.00000000000E+000
+2.84375000000E+008, +2.46894906560E-002, +0.00000000000E+000
+2.85000000000E+008, +2.55424032321E-002, +0.00000000000E+000
+2.85625000000E+008, +2.51274826984E-002, +0.00000000000E+000
+2.86250000000E+008, +2.52710276417E-002, +0.00000000000E+000
+2.86875000000E+008, +2.72458774925E-002, +0.00000000000E+000
