"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -4.81393957677E+001, +0.00000000000E+000
+2.50625000000E+008, -4.77117567100E+001, +0.00000000000E+000
+2.51250000000E+008, -4.73835881280E+001, +0.00000000000E+000
+2.51875000000E+008, -4.69669580256E+001, +0.00000000000E+000
+2.52500000000E+008, -4.70112453910E+001, +0.00000000000E+000
+2.53125000000E+008, -4.78949014715E+001, +0.00000000000E+000
+2.53750000000E+008, -4.75668539898E+001, +0.00000000000E+000
+2.54375000000E+008, -4.74759630115E+001, +0.00000000000E+000
+2.55000000000E+008, -4.72642937373E+001, +0.00000000000E+000
+2.55625000000E+008, -4.75202957850E+001, +0.00000000000E+000
+2.56250000000E+008, -4.81186555281E+001, +0.00000000000E+000
+2.56875000000E+008, -4.71134831929E+001, +0.00000000000E+000
+2.57500000000E+008, -4.75094333487E+001, +0.00000000000E+000
+2.58125000000E+008, -4.79613242670E+001, +0.00000000000E+000
+2.58750000000E+008, -4.79171934792E+001, +0.00000000000E+000
+2.59375000000E+008, -4.68727538537E+001, +0.00000000000E+000
+2.60000000000E+008, -4.70870973245E+001, +0.00000000000E+000
+2.60625000000E+008, -4.72776977102E+001, +0.00000000000E+000
+2.61250000000E+008, -4.72749102473E+001, +0.00000000000E+000
+2.61875000000E+008, -4.72920076812E+001, +0.00000000000E+000
+2.62500000000E+008, -4.73262271427E+001, +0.00000000000E+000
+2.63125000000E+008, -4.65519422620E+001, +0.00000000000E+000
+2.63750000000E+008, -4.71066062009E+001, +0.00000000000E+000
+2.64375000000E+008, -4.66091153843E+001, +0.00000000000E+000
+2.65000000000E+008, -4.66923494339E+001, +0.00000000000E+000
+2.65625000000E+008, -4.72767856026E+001, +0.00000000000E+000
+2.66250000000E+008, -4.77079662600E+001, +0.00000000000E+000
+2.66875000000E+008, -4.75235871841E+001, +0.00000000000E+000
+2.67500000000E+008, -4.67532344025E+001, +0.00000000000E+000
+2.68125000000E+008, -4.68250165045E+001, +0.00000000000E+000
+2.68750000000E+008, -4.70622637727E+001, +0.00000000000E+000
+2.69375000000E+008, -4.68925729949E+001, +0.00000000000E+000
+2.70000000000E+008, -4.71083641408E+001, +0.00000000000E+000
+2.70625000000E+008, -4.70113150386E+001, +0.00000000000E+000
+2.71250000000E+008, -4.71048864845E+001, +0.00000000000E+000
+2.71875000000E+008, -4.66400932588E+001, +0.00000000000E+000
+2.72500000000E+008, -4.65678524124E+001, +0.00000000000E+000
+2.73125000000E+008, -4.64622126836E+001, +0.00000000000E+000
+2.73750000000E+008, -4.65448839114E+001, +0.00000000000E+000
+2.74375000000E+008, -4.67572796702E+001, +0.00000000000E+000
+2.75000000000E+008, -4.68150081156E+001, +0.00000000000E+000
+2.75625000000E+008, -4.63549190236E+001, +0.00000000000E+000
+2.76250000000E+008, -4.64634166837E+001, +0.00000000000E+000
+2.76875000000E+008, -4.59675208087E+001, +0.00000000000E+000
+2.77500000000E+008, -4.66704924592E+001, +0.00000000000E+000
+2.78125000000E+008, -4.57437217633E+001, +0.00000000000E+000
