"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -8.32466973303E-001, +0.00000000000E+000
+2.50625000000E+008, -8.34540936797E-001, +0.00000000000E+000
+2.51250000000E+008, -8.27917787173E-001, +0.00000000000E+000
+2.51875000000E+008, -8.33879212456E-001, +0.00000000000E+000
+2.52500000000E+008, -8.34179441999E-001, +0.00000000000E+000
+2.53125000000E+008, -8.26542725384E-001, +0.00000000000E+000
+2.53750000000E+008, -8.26225910888E-001, +0.00000000000E+000
+2.54375000000E+008, -8.28214403572E-001, +0.00000000000E+000
+2.55000000000E+008, -8.20960984806E-001, +0.00000000000E+000
+2.55625000000E+008, -8.24665649615E-001, +0.00000000000E+000
+2.56250000000E+008, -8.22065798932E-001, +0.00000000000E+000
+2.56875000000E+008, -8.20017303355E-001, +0.00000000000E+000
+2.57500000000E+008, -8.17935629225E-001, +0.00000000000E+000
+2.58125000000E+008, -8.17582157535E-001, +0.00000000000E+000
+2.58750000000E+008, -8.16781553904E-001, +0.00000000000E+000
+2.59375000000E+008, -8.18700232754E-001, +0.00000000000E+000
+2.60000000000E+008, -8.17570017665E-001, +0.00000000000E+000
+2.60625000000E+008, -8.13557587040E-001, +0.00000000000E+000
+2.61250000000E+008, -8.13180601543E-001, +0.00000000000E+000
+2.61875000000E+008, -8.16902825631E-001, +0.00000000000E+000
+2.62500000000E+008, -8.10852249019E-001, +0.00000000000E+000
+2.63125000000E+008, -8.08525569565E-001, +0.00000000000E+000
+2.63750000000E+008, -8.10864117246E-001, +0.00000000000E+000
+2.64375000000E+008, -8.05372474956E-001, +0.00000000000E+000
+2.65000000000E+008, -8.08073785732E-001, +0.00000000000E+000
+2.65625000000E+008, -8.03613281269E-001, +0.00000000000E+000
+2.66250000000E+008, -8.02349183947E-001, +0.00000000000E+000
+2.66875000000E+008, -8.01709884102E-001, +0.00000000000E+000
+2.67500000000E+008, -7.99741929587E-001, +0.00000000000E+000
+2.68125000000E+008, -8.02781148619E-001, +0.00000000000E+000
+2.68750000000E+008, -7.97989262463E-001, +0.00000000000E+000
+2.69375000000E+008, -7.97899877048E-001, +0.00000000000E+000
+2.70000000000E+008, -7.94345790690E-001, +0.00000000000E+000
+2.70625000000E+008, -7.92552302839E-001, +0.00000000000E+000
+2.71250000000E+008, -7.91188297734E-001, +0.00000000000E+000
+2.71875000000E+008, -7.93569174609E-001, +0.00000000000E+000
+2.72500000000E+008, -7.86129639313E-001, +0.00000000000E+000
+2.73125000000E+008, -7.90215536453E-001, +0.00000000000E+000
+2.73750000000E+008, -7.83581939759E-001, +0.00000000000E+000
+2.74375000000E+008, -7.82554934043E-001, +0.00000000000E+000
+2.75000000000E+008, -7.83932345201E-001, +0.00000000000E+000
+2.75625000000E+008, -7.83112130281E-001, +0.00000000000E+000
+2.76250000000E+008, -7.81549977160E-001, +0.00000000000E+000
+2.76875000000E+008, -7.76896290113E-001, +0.00000000000E+000
+2.77500000000E+008, -7.74195912332E-001, +0.00000000000E+000
+2.78125000000E+008, -7.76131464136E-001, +0.00000000000E+000
+2.78750000000E+008, -7.75167094175E-001, +0.00000000000E+000
+2.79375000000E+008, -7.66684129810E-001, +0.00000000000E+000
+2.80000000000E+008, -7.67856461527E-001, +0.00000000000E+000
+2.80625000000E+008, -7.70590462252E-001, +0.00000000000E+000
+2.81250000000E+008, -7.63461868690E-001, +0.00000000000E+000
+2.81875000000E+008, -7.64015737014E-001, +0.00000000000E+000
+2.82500000000E+008, -7.62877645020E-001, +0.00000000000E+000
+2.83125000000E+008, -7.66577292861E-001, +0.00000000000E+000
+2.83750000000E+008, -7.59329544979E-001, +0.00000000000E+000
+2.84375000000E+008, -7.57394008602E-001, +0.00000000000E+000
+2.85000000000E+008, -7.57541825417E-001, +0.00000000000E+000
+2.85625000000E+008, -7.57036353700E-001, +0.00000000000E+000
+2.86250000000E+008, -7.56201650682E-001, +0.00000000000E+000
+2.86875000000E+008, -7.53232291761E-001, +0.00000000000E+000
+2.87500000000E+008, -7.46412990554E-001, +0.00000000000E+000
+2.88125000000E+008, -7.51696794848E-001, +0.00000000000E+000
+2.88750000000E+008, -7.48899151189E-001, +0.00000000000E+000
+2.89375000000E+008, -7.49565167513E-001, +0.00000000000E+000
+2.90000000000E+008, -7.45716476203E-001, +0.00000000000E+000
+2.90625000000E+008, -7.47732205458E-001, +0.00000000000E+000
+2.91250000000E+008, -7.43350061156E-001, +0.00000000000E+000
+2.91875000000E+008, -7.38656449579E-001, +0.00000000000E+000
+2.92500000000E+008, -7.36439543903E-001, +0.00000000000E+000
+2.93125000000E+008, -7.35876644213E-001, +0.00000000000E+000
+2.93750000000E+008, -7.35306823522E-001, +0.00000000000E+000
+2.94375000000E+008, -7.36229958681E-001, +0.00000000000E+000
+2.95000000000E+008, -7.33838164623E-001, +0.00000000000E+000
+2.95625000000E+008, -7.29477240694E-001, +0.00000000000E+000
+2.96250000000E+008, -7.32784419824E-001, +0.00000000000E+000
+2.96875000000E+008, -7.32056601284E-001, +0.00000000000E+000
+2.97500000000E+008, -7.25640932201E-001, +0.00000000000E+000
+2.98125000000E+008, -7.27225533834E-001, +0.00000000000E+000
+2.98750000000E+008, -7.24787076172E-001, +0.00000000000E+000
+2.99375000000E+008, -7.22685094842E-001, +0.00000000000E+000
