"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +4.84659359477E+000, +0.00000000000E+000
+2.50625000000E+008, +4.82036819040E+000, +0.00000000000E+000
+2.51250000000E+008, +4.81137255152E+000, +0.00000000000E+000
+2.51875000000E+008, +4.78652951164E+000, +0.00000000000E+000
+2.52500000000E+008, +4.76366134845E+000, +0.00000000000E+000
+2.53125000000E+008, +4.74648432232E+000, +0.00000000000E+000
+2.53750000000E+008, +4.72705110650E+000, +0.00000000000E+000
+2.54375000000E+008, +4.70763070117E+000, +0.00000000000E+000
+2.55000000000E+008, +4.69180902812E+000, +0.00000000000E+000
+2.55625000000E+008, +4.66380304633E+000, +0.00000000000E+000
+2.56250000000E+008, +4.64596869332E+000, +0.00000000000E+000
+2.56875000000E+008, +4.61893400708E+000, +0.00000000000E+000
+2.57500000000E+008, +4.59624183905E+000, +0.00000000000E+000
+2.58125000000E+008, +4.57594029781E+000, +0.00000000000E+000
+2.58750000000E+008, +4.55402529829E+000, +0.00000000000E+000
+2.59375000000E+008, +4.52504813335E+000, +0.00000000000E+000
+2.60000000000E+008, +4.50001931961E+000, +0.00000000000E+000
+2.60625000000E+008, +4.47885851286E+000, +0.00000000000E+000
+2.61250000000E+008, +4.45555896820E+000, +0.00000000000E+000
+2.61875000000E+008, +4.42642036640E+000, +0.00000000000E+000
+2.62500000000E+008, +4.40586457343E+000, +0.00000000000E+000
+2.63125000000E+008, +4.37814623689E+000, +0.00000000000E+000
+2.63750000000E+008, +4.34921477200E+000, +0.00000000000E+000
+2.64375000000E+008, +4.32670023115E+000, +0.00000000000E+000
+2.65000000000E+008, +4.29852062751E+000, +0.00000000000E+000
+2.65625000000E+008, +4.26995750777E+000, +0.00000000000E+000
+2.66250000000E+008, +4.24335363437E+000, +0.00000000000E+000
+2.66875000000E+008, +4.21491387668E+000, +0.00000000000E+000
+2.67500000000E+008, +4.18488205799E+000, +0.00000000000E+000
+2.68125000000E+008, +4.15656750364E+000, +0.00000000000E+000
+2.68750000000E+008, +4.13208011676E+000, +0.00000000000E+000
+2.69375000000E+008, +4.10102125256E+000, +0.00000000000E+000
+2.70000000000E+008, +4.06816555212E+000, +0.00000000000E+000
+2.70625000000E+008, +4.04229955549E+000, +0.00000000000E+000
+2.71250000000E+008, +4.01242545443E+000, +0.00000000000E+000
+2.71875000000E+008, +3.98062431676E+000, +0.00000000000E+000
+2.72500000000E+008, +3.95412615291E+000, +0.00000000000E+000
+2.73125000000E+008, +3.92288450138E+000, +0.00000000000E+000
+2.73750000000E+008, +3.89106117614E+000, +0.00000000000E+000
+2.74375000000E+008, +3.85865397447E+000, +0.00000000000E+000
+2.75000000000E+008, +3.82940289573E+000, +0.00000000000E+000
+2.75625000000E+008, +3.80013948950E+000, +0.00000000000E+000
+2.76250000000E+008, +3.76389085720E+000, +0.00000000000E+000
+2.76875000000E+008, +3.73577106645E+000, +0.00000000000E+000
+2.77500000000E+008, +3.70529857535E+000, +0.00000000000E+000
+2.78125000000E+008, +3.66630947757E+000, +0.00000000000E+000
+2.78750000000E+008, +3.63692731458E+000, +0.00000000000E+000
+2.79375000000E+008, +3.60941615495E+000, +0.00000000000E+000
+2.80000000000E+008, +3.57185557288E+000, +0.00000000000E+000
+2.80625000000E+008, +3.53378793196E+000, +0.00000000000E+000
+2.81250000000E+008, +3.50830388108E+000, +0.00000000000E+000
+2.81875000000E+008, +3.47012405789E+000, +0.00000000000E+000
+2.82500000000E+008, +3.43990360747E+000, +0.00000000000E+000
+2.83125000000E+008, +3.39509450442E+000, +0.00000000000E+000
+2.83750000000E+008, +3.36236618714E+000, +0.00000000000E+000
+2.84375000000E+008, +3.33405836215E+000, +0.00000000000E+000
+2.85000000000E+008, +3.29214634443E+000, +0.00000000000E+000
+2.85625000000E+008, +3.26290535648E+000, +0.00000000000E+000
+2.86250000000E+008, +3.22374725895E+000, +0.00000000000E+000
+2.86875000000E+008, +3.19017621705E+000, +0.00000000000E+000
+2.87500000000E+008, +3.16118473105E+000, +0.00000000000E+000
+2.88125000000E+008, +3.11655988292E+000, +0.00000000000E+000
+2.88750000000E+008, +3.08495738982E+000, +0.00000000000E+000
+2.89375000000E+008, +3.04686633150E+000, +0.00000000000E+000
+2.90000000000E+008, +3.01216137028E+000, +0.00000000000E+000
+2.90625000000E+008, +2.96999519334E+000, +0.00000000000E+000
+2.91250000000E+008, +2.94146561717E+000, +0.00000000000E+000
+2.91875000000E+008, +2.90188706171E+000, +0.00000000000E+000
+2.92500000000E+008, +2.86540073729E+000, +0.00000000000E+000
+2.93125000000E+008, +2.82412804697E+000, +0.00000000000E+000
+2.93750000000E+008, +2.79022046240E+000, +0.00000000000E+000
+2.94375000000E+008, +2.74680747903E+000, +0.00000000000E+000
+2.95000000000E+008, +2.71043714454E+000, +0.00000000000E+000
+2.95625000000E+008, +2.67186406677E+000, +0.00000000000E+000
