"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -2.63904118530E+001, +0.00000000000E+000
+2.50625000000E+008, -2.60384224859E+001, +0.00000000000E+000
+2.51250000000E+008, -2.65214553135E+001, +0.00000000000E+000
+2.51875000000E+008, -2.61866236138E+001, +0.00000000000E+000
+2.52500000000E+008, -2.62139405574E+001, +0.00000000000E+000
+2.53125000000E+008, -2.59322741625E+001, +0.00000000000E+000
+2.53750000000E+008, -2.60471598304E+001, +0.00000000000E+000
+2.54375000000E+008, -2.59065001650E+001, +0.00000000000E+000
+2.55000000000E+008, -2.61144111224E+001, +0.00000000000E+000
+2.55625000000E+008, -2.61230495832E+001, +0.00000000000E+000
+2.56250000000E+008, -2.58460492986E+001, +0.00000000000E+000
+2.56875000000E+008, -2.58296066526E+001, +0.00000000000E+000
+2.57500000000E+008, -2.56734866349E+001, +0.00000000000E+000
+2.58125000000E+008, -2.62393119666E+001, +0.00000000000E+000
+2.58750000000E+008, -2.58053604184E+001, +0.00000000000E+000
+2.59375000000E+008, -2.56407861196E+001, +0.00000000000E+000
+2.60000000000E+008, -2.60239930167E+001, +0.00000000000E+000
+2.60625000000E+008, -2.56637455044E+001, +0.00000000000E+000
+2.61250000000E+008, -2.57779928255E+001, +0.00000000000E+000
+2.61875000000E+008, -2.60538548197E+001, +0.00000000000E+000
+2.62500000000E+008, -2.59346329342E+001, +0.00000000000E+000
+2.63125000000E+008, -2.49751734709E+001, +0.00000000000E+000
+2.63750000000E+008, -2.57630839013E+001, +0.00000000000E+000
+2.64375000000E+008, -2.55861966805E+001, +0.00000000000E+000
+2.65000000000E+008, -2.55147193127E+001, +0.00000000000E+000
+2.65625000000E+008, -2.55142952903E+001, +0.00000000000E+000
+2.66250000000E+008, -2.54946682245E+001, +0.00000000000E+000
+2.66875000000E+008, -2.53655738182E+001, +0.00000000000E+000
+2.67500000000E+008, -2.56231272276E+001, +0.00000000000E+000
+2.68125000000E+008, -2.53918411029E+001, +0.00000000000E+000
+2.68750000000E+008, -2.52275504038E+001, +0.00000000000E+000
+2.69375000000E+008, -2.55322366756E+001, +0.00000000000E+000
+2.70000000000E+008, -2.52571484918E+001, +0.00000000000E+000
+2.70625000000E+008, -2.54244622287E+001, +0.00000000000E+000
+2.71250000000E+008, -2.51278997291E+001, +0.00000000000E+000
+2.71875000000E+008, -2.50508951117E+001, +0.00000000000E+000
+2.72500000000E+008, -2.53575885119E+001, +0.00000000000E+000
+2.73125000000E+008, -2.49769694020E+001, +0.00000000000E+000
+2.73750000000E+008, -2.55742457386E+001, +0.00000000000E+000
+2.74375000000E+008, -2.54855858980E+001, +0.00000000000E+000
+2.75000000000E+008, -2.53982377985E+001, +0.00000000000E+000
+2.75625000000E+008, -2.49019297735E+001, +0.00000000000E+000
+2.76250000000E+008, -2.51493432461E+001, +0.00000000000E+000
+2.76875000000E+008, -2.50027320899E+001, +0.00000000000E+000
+2.77500000000E+008, -2.48187766586E+001, +0.00000000000E+000
+2.78125000000E+008, -2.52522072665E+001, +0.00000000000E+000
+2.78750000000E+008, -2.53353938468E+001, +0.00000000000E+000
+2.79375000000E+008, -2.45108814855E+001, +0.00000000000E+000
+2.80000000000E+008, -2.50296560058E+001, +0.00000000000E+000
+2.80625000000E+008, -2.49283222123E+001, +0.00000000000E+000
+2.81250000000E+008, -2.49835618635E+001, +0.00000000000E+000
+2.81875000000E+008, -2.47217897460E+001, +0.00000000000E+000
+2.82500000000E+008, -2.44323378996E+001, +0.00000000000E+000
+2.83125000000E+008, -2.45671387065E+001, +0.00000000000E+000
+2.83750000000E+008, -2.53116154872E+001, +0.00000000000E+000
+2.84375000000E+008, -2.41836488617E+001, +0.00000000000E+000
+2.85000000000E+008, -2.45079336933E+001, +0.00000000000E+000
+2.85625000000E+008, -2.44022371992E+001, +0.00000000000E+000
+2.86250000000E+008, -2.48171917010E+001, +0.00000000000E+000
+2.86875000000E+008, -2.47292645629E+001, +0.00000000000E+000
+2.87500000000E+008, -2.44107027667E+001, +0.00000000000E+000
+2.88125000000E+008, -2.45115444771E+001, +0.00000000000E+000
+2.88750000000E+008, -2.43803042132E+001, +0.00000000000E+000
+2.89375000000E+008, -2.43993488871E+001, +0.00000000000E+000
+2.90000000000E+008, -2.42927244098E+001, +0.00000000000E+000
+2.90625000000E+008, -2.48072424219E+001, +0.00000000000E+000
+2.91250000000E+008, -2.45496063930E+001, +0.00000000000E+000
+2.91875000000E+008, -2.44227975335E+001, +0.00000000000E+000
+2.92500000000E+008, -2.44686571418E+001, +0.00000000000E+000
+2.93125000000E+008, -2.43038140275E+001, +0.00000000000E+000
+2.93750000000E+008, -2.44547284220E+001, +0.00000000000E+000
+2.94375000000E+008, -2.44203711637E+001, +0.00000000000E+000
+2.95000000000E+008, -2.40731109932E+001, +0.00000000000E+000
+2.95625000000E+008, -2.44615570794E+001, +0.00000000000E+000
+2.96250000000E+008, -2.40721974682E+001, +0.00000000000E+000
+2.96875000000E+008, -2.42217951650E+001, +0.00000000000E+000
+2.97500000000E+008, -2.40270510792E+001, +0.00000000000E+000
+2.98125000000E+008, -2.42786388680E+001, +0.00000000000E+000
+2.98750000000E+008, -2.38630667011E+001, +0.00000000000E+000
+2.99375000000E+008, -2.42457276414E+001, +0.00000000000E+000
+3.00000000000E+008, -2.41724614372E+001, +0.00000000000E+000
+3.00625000000E+008, -2.37416712502E+001, +0.00000000000E+000
+3.01250000000E+008, -2.43652605683E+001, +0.00000000000E+000
+3.01875000000E+008, -2.39704564514E+001, +0.00000000000E+000
+3.02500000000E+008, -2.41409585049E+001, +0.00000000000E+000
+3.03125000000E+008, -2.39740586232E+001, +0.00000000000E+000
+3.03750000000E+008, -2.39245722186E+001, +0.00000000000E+000
+3.04375000000E+008, -2.39486991158E+001, +0.00000000000E+000
+3.05000000000E+008, -2.42905093803E+001, +0.00000000000E+000
+3.05625000000E+008, -2.37012536144E+001, +0.00000000000E+000
+3.06250000000E+008, -2.37429760319E+001, +0.00000000000E+000
+3.06875000000E+008, -2.39052068195E+001, +0.00000000000E+000
